StopId,Zone,Street,Importance,Lng,Lat
1239,Huyện Hóc Môn,Quốc lộ 22,2593271,106.613522,10.845187
1115,Quận 12,Quốc lộ 22,2588447,106.613517,10.845803
1393,Huyện Hóc Môn,Quốc lộ 22,2573424,106.608152,10.853595
1152,Quận 12,Quốc lộ 22,2528083,106.607863,10.85466
510,Quận Tân Bình,Hoàng Văn Thụ,2227645,106.655198,10.79472
271,Quận Tân Bình,Trường Chinh,2219404,106.630254,10.822452
174,Quận Tân Phú,Trường Chinh,2071134,106.629825,10.822315
272,Quận 12,Trường Chinh,2066354,106.625828,10.826957
1234,Huyện Hóc Môn,Quốc lộ 22,2045172,106.603324,10.860602
1235,Huyện Hóc Môn,Quốc lộ 22,2045172,106.598904,10.866919
1155,Huyện Hóc Môn,Quốc lộ 22,2025118,106.599349,10.866782
1156,Huyện Hóc Môn,Quốc lộ 22,2025118,106.602697,10.862014
169,Quận 12,Trường Chinh,1944968,106.62586,10.82624
1451,Quận 1,Nguyễn Thái Học,1829246,106.694984,10.768461
440,Quận 5,Hồng Bàng,1725460,106.664683,10.755671
27,Quận 1,Trần Hưng Đạo,1703189,106.695847,10.768327
1301,Quận Tân Bình,Trường Chinh,1702120,106.647747,10.796053
1256,Quận 1,Hàm Nghi,1697063,106.701998,10.770811
464,Quận 5,Hồng Bàng,1671790,106.652334,10.753331
7265,Quận 1,Hàm Nghi,1635503,106.700259,10.770911
421,Quận Bình Thạnh,Điện Biên Phủ,1607573,106.714856,10.801228
1302,Quận Tân Bình,Trường Chinh,1599676,106.635629,10.804732
166,Quận 12,Quốc lộ 22,1594335,106.61337280273438,10.843737602233887
273,Quận 12,Trường Chinh,1591385,106.624594,10.828627
275,Quận 12,Trường Chinh,1591385,106.620614,10.834781
277,Quận 12,Trường Chinh,1591385,106.618398,10.838222
626,Quận 6,Hồng Bàng,1585260,106.635574,10.754732
437,Quận 5,Hồng Bàng,1553920,106.659232,10.754553
620,Quận 11,Hồng Bàng,1544740,106.64926,10.753689
622,Quận 11,Hồng Bàng,1544740,106.646787,10.753952
624,Quận 11,Hồng Bàng,1544740,106.644368,10.754232
721,Quận 6,Hồng Bàng,1529849,106.644003,10.754021
722,Quận 6,Hồng Bàng,1529849,106.647323,10.753647
723,Quận 6,Hồng Bàng,1529849,106.645955,10.753789
434,Quận 5,Hồng Bàng,1514853,106.661072,10.755196
1874,Quận Bình Thạnh,Điện Biên Phủ,1509620,106.701654,10.795089
623,Quận 11,Hồng Bàng,1508380,106.639089,10.754748
1395,Huyện Hóc Môn,Quốc lộ 22,1506788,106.587263,10.883308
719,Quận 6,Hồng Bàng,1488226,106.641245,10.754295
724,Quận 6,Hồng Bàng,1488226,106.637995,10.754548
439,Quận 5,Hồng Bàng,1485716,106.663191,10.75536
436,Quận 5,Hồng Bàng,1481895,106.659501,10.754875
258,Quận Tân Bình,Trần Quốc Hoàn,1481741,106.662312,10.801365
167,Quận 12,Trường Chinh,1476509,106.617347,10.838891
172,Quận 12,Trường Chinh,1476509,106.620212,10.834497
1303,Huyện Hóc Môn,Quốc lộ 22,1457034,106.586732,10.884615
420,Quận Bình Thạnh,Điện Biên Phủ,1454089,106.717227,10.800274
32,Quận 1,Hàm Nghi,1453683,106.704074,10.770722
419,Quận Bình Thạnh,Điện Biên Phủ,1432794,106.719571,10.798893
412,Quận Thủ Đức,Xa Lộ Hà Nội,1407537,106.759998,10.825366
414,Quận Thủ Đức,Xa Lộ Hà Nội,1407537,106.758142,10.820576
3176,Quận 3,Võ Thị Sáu,1399170,106.690918,10.786916
417,Quận 2,Xa Lộ Hà Nội,1398820,106.738762,10.801309
418,Quận 2,Xa Lộ Hà Nội,1398820,106.73436,10.800451
415,Quận 2,Xa Lộ Hà Nội,1394460,106.747948,10.802925
416,Quận 2,Xa Lộ Hà Nội,1394460,106.7434,10.802134
476,Quận Bình Thạnh,Điện Biên Phủ,1388875,106.714255,10.800827
473,Quận Bình Thạnh,Điện Biên Phủ,1380178,106.717404,10.799531
475,Quận Bình Thạnh,Điện Biên Phủ,1380178,106.719496,10.798525
713,Quận Bình Tân,Kinh Dương Vương,1336080,106.61687,10.739665
630,Quận Bình Tân,Kinh Dương Vương,1314217,106.616392,10.739675
470,Quận 5,Hồng Bàng,1303822,106.656749,10.754111
410,Quận Thủ Đức,Xa Lộ Hà Nội,1282130,106.765244,10.834945
413,Quận Thủ Đức,Xa Lộ Hà Nội,1282130,106.763195,10.831214
7617,Huyện Củ Chi,Quốc lộ 22,1275353,106.482453,10.970495
